KOActivity_1,KOActivity_2,KOActivity_3,Number of checks to be executed according to the suggestion,Minimum Check Number (Ideal Processing),Check Overprocessing
27142,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27145,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27154,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27159,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27169,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27178,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27181,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27183,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27187,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27189,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27194,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27195,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27196,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27202,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27203,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27206,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27213,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
27220,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27226,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27234,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27237,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27238,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27245,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27257,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27262,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27267,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27272,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27282,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27292,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27299,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
27300,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27304,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27313,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27314,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27316,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27324,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27336,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27339,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27348,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27353,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27359,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27369,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27373,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27374,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27377,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27379,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27381,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27382,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27385,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27388,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27389,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27390,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27401,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27413,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27415,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27430,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27433,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27434,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27435,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27448,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27449,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27450,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27451,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27454,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27455,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27458,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27472,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27475,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27484,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27485,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27490,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27493,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27505,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27507,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
27508,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27549,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27550,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27551,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27554,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27555,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27559,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27561,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27565,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27566,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27568,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
27569,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27594,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27598,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27599,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27602,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27613,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27623,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27625,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27626,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27629,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27630,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27631,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27633,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27637,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27646,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27647,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27652,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27654,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27657,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27660,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27675,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27676,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27678,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27685,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27687,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27697,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27701,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27702,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27705,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27708,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27713,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27714,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27723,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27734,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27741,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27743,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27751,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27756,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27760,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27764,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27771,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27773,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27790,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27791,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27794,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27797,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27803,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27817,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27818,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27824,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27845,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27853,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27855,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27861,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27866,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27870,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27873,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27876,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27879,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27890,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27892,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27897,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27899,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27902,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27907,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
27914,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27915,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27920,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27929,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27931,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27932,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27936,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27939,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27946,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27959,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
27974,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27978,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
27979,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27985,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
27988,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27992,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
27993,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27994,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27995,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
27996,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28007,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28013,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28014,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28019,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28038,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28039,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28041,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28049,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28062,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28074,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
28081,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28083,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28086,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28091,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28096,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28103,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28107,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28117,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28118,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28125,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28128,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28131,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28137,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28140,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28141,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28154,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28155,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28156,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28157,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28165,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28172,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28175,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28179,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28182,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28187,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28189,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28195,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28199,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28203,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28214,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28217,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28222,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28227,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28232,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28251,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28267,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28268,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28269,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28271,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28275,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28279,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28287,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28291,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28292,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28295,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28299,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28300,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28311,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28312,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28313,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28319,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28323,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28324,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28328,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28330,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28331,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28335,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28341,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28354,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28357,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28363,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28364,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28368,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28370,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28373,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28378,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28380,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28394,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28395,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28398,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28404,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28411,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28419,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28434,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28436,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28442,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28448,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28468,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28483,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28485,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28496,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28498,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28503,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28538,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28540,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28550,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28554,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28555,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28564,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28571,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28575,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28582,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28583,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28584,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28589,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28595,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28600,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28606,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28614,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28617,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28629,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28635,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28650,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28651,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28652,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28659,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28660,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28662,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28665,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28672,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28674,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28676,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28681,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28683,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28696,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28698,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28699,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28711,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28719,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28724,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28730,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28737,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28744,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28745,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28758,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
28763,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
28771,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28772,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28775,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28785,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
28789,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
28795,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
28805,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28810,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
28812,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28813,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28841,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28842,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28853,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28854,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28865,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
28866,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28870,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28871,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28898,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
28919,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28926,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28928,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28930,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
28931,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28934,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28951,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28957,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
28958,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28976,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28980,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
28986,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
28988,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29000,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29003,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29010,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29012,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29028,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29033,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
29038,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29051,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29055,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29058,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29059,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29064,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29068,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29076,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29079,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29082,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29089,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29092,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29093,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29110,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29111,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
29139,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29141,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29144,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29145,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29147,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29148,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29154,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29155,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29163,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29175,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29179,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29193,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
29195,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29201,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29202,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29211,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29215,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29221,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29239,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29245,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29251,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29261,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29262,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29271,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29279,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29300,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29303,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29305,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
29321,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29341,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29347,CreditDecision,PostFundingCancellation,IdCancellation,3,3,0
29349,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29387,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29390,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29397,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29401,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29403,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29408,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29413,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29416,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
29432,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29436,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29437,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29438,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29439,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29445,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29450,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29465,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29467,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29474,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29475,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
29480,IdCancellation,CreditDecision,PostFundingCancellation,1,1,0
29482,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29491,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29497,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29506,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29524,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29541,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
29543,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29546,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
29548,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
29553,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
29555,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
