Case ID,Activity,Resource,Complete Timestamp,Variant,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-7058,End,End,2011/04/27 10:02:14.797,Variant 4,End,End,End,End,End,End,End
case-7060,Confirmation of receipt,Resource18,2011/05/02 13:17:29.209,Variant 1,Internet,General,Group 5,Resource12,task-20831,complete,EMPTY
case-7060,T02 Check confirmation of receipt,Resource18,2011/05/02 13:17:47.776,Variant 1,Internet,General,Group 5,Resource12,task-23060,complete,Group 4
case-7060,T04 Determine confirmation of receipt,Resource18,2011/05/02 13:18:30.463,Variant 1,Internet,General,Group 5,Resource12,task-23062,complete,Group 3
case-7060,T05 Print and send confirmation of receipt,Resource18,2011/05/02 13:18:45.695,Variant 1,Internet,General,Group 5,Resource12,task-23063,complete,Group 2
case-7060,T06 Determine necessity of stop advice,Resource15,2011/05/27 10:37:57.009,Variant 1,Internet,General,Group 5,Resource12,task-23061,complete,Group 1
case-7060,T10 Determine necessity to stop indication,Resource15,2011/05/27 10:38:19.768,Variant 1,Internet,General,Group 5,Resource12,task-26636,complete,Group 1
case-7060,End,End,2011/05/27 10:38:19.768,Variant 1,End,End,End,End,End,End,End
case-7079,Confirmation of receipt,Resource02,2011/04/21 17:37:33.380,Variant 1,Internet,General,,Resource02,task-20941,complete,EMPTY
case-7079,T02 Check confirmation of receipt,Resource02,2011/04/21 17:37:55.193,Variant 1,Internet,General,,Resource02,task-21969,complete,Group 4
case-7079,T04 Determine confirmation of receipt,Resource02,2011/04/21 17:47:33.947,Variant 1,Internet,General,,Resource02,task-21971,complete,Group 3
case-7079,T05 Print and send confirmation of receipt,Resource02,2011/04/21 17:47:43.266,Variant 1,Internet,General,,Resource02,task-21972,complete,Group 2
case-7079,T06 Determine necessity of stop advice,Resource02,2011/04/21 17:47:56.392,Variant 1,Internet,General,,Resource02,task-21970,complete,Group 1
case-7079,T10 Determine necessity to stop indication,Resource02,2011/04/26 09:25:19.554,Variant 1,Internet,General,,Resource02,task-21973,complete,Group 1
case-7079,End,End,2011/04/26 09:25:19.554,Variant 1,End,End,End,End,End,End,End
case-7080,Confirmation of receipt,Resource07,2011/05/02 10:22:38.942,Variant 1,Internet,General,,Resource11,task-20943,complete,EMPTY
case-7080,T02 Check confirmation of receipt,Resource07,2011/05/02 10:23:01.252,Variant 1,Internet,General,,Resource11,task-22908,complete,Group 4
case-7080,T04 Determine confirmation of receipt,Resource07,2011/05/02 10:23:18.843,Variant 1,Internet,General,,Resource11,task-22910,complete,Group 3
case-7080,T05 Print and send confirmation of receipt,Resource07,2011/05/02 10:23:39.517,Variant 1,Internet,General,,Resource11,task-22911,complete,Group 2
case-7080,T06 Determine necessity of stop advice,Resource07,2011/05/02 10:23:53.482,Variant 1,Internet,General,,Resource11,task-22909,complete,Group 1
case-7080,T10 Determine necessity to stop indication,Resource01,2011/05/12 16:26:56.600,Variant 1,Internet,General,,Resource11,task-22912,complete,Group 1
case-7080,End,End,2011/05/12 16:26:56.600,Variant 1,End,End,End,End,End,End,End
case-7083,Confirmation of receipt,Resource14,2011/05/09 11:12:35.003,Variant 1,Internet,General,,Resource14,task-21002,complete,EMPTY
case-7083,T02 Check confirmation of receipt,Resource14,2011/05/09 11:13:48.243,Variant 1,Internet,General,,Resource14,task-23906,complete,Group 4
case-7083,T04 Determine confirmation of receipt,Resource14,2011/05/09 11:14:12.584,Variant 1,Internet,General,,Resource14,task-23908,complete,Group 3
case-7083,T05 Print and send confirmation of receipt,Resource14,2011/05/09 11:14:35.986,Variant 1,Internet,General,,Resource14,task-23909,complete,Group 2
case-7083,T06 Determine necessity of stop advice,Resource14,2011/05/09 13:16:30.342,Variant 1,Internet,General,,Resource14,task-23907,complete,Group 1
case-7083,T10 Determine necessity to stop indication,Resource14,2011/05/09 13:17:54.990,Variant 1,Internet,General,,Resource14,task-23981,complete,Group 1
case-7083,End,End,2011/05/09 13:17:54.990,Variant 1,End,End,End,End,End,End,End
case-7084,Confirmation of receipt,Resource07,2011/05/02 11:46:52.264,Variant 1,Internet,General,,Resource11,task-21021,complete,EMPTY
case-7084,T02 Check confirmation of receipt,Resource07,2011/05/02 11:47:12.107,Variant 1,Internet,General,,Resource11,task-22985,complete,Group 4
case-7084,T04 Determine confirmation of receipt,Resource07,2011/05/02 11:47:26.664,Variant 1,Internet,General,,Resource11,task-22987,complete,Group 3
case-7084,T05 Print and send confirmation of receipt,Resource07,2011/05/02 11:47:37.350,Variant 1,Internet,General,,Resource11,task-22988,complete,Group 2
case-7084,T06 Determine necessity of stop advice,Resource07,2011/05/02 11:47:49.397,Variant 1,Internet,General,,Resource11,task-22986,complete,Group 1
case-7084,T10 Determine necessity to stop indication,Resource01,2011/05/13 10:13:14.833,Variant 1,Internet,General,,Resource11,task-22989,complete,Group 1
case-7084,End,End,2011/05/13 10:13:14.833,Variant 1,End,End,End,End,End,End,End
case-7085,Confirmation of receipt,Resource21,2011/04/19 11:32:59.775,Variant 1,Internet,General,,Resource21,task-21027,complete,Group 1
case-7085,T02 Check confirmation of receipt,Resource21,2011/04/19 11:33:29.895,Variant 1,Internet,General,,Resource21,task-21055,complete,Group 4
case-7085,T04 Determine confirmation of receipt,Resource21,2011/04/19 11:34:54.325,Variant 1,Internet,General,,Resource21,task-21058,complete,Group 3
case-7085,T05 Print and send confirmation of receipt,Resource21,2011/04/19 11:35:43.253,Variant 1,Internet,General,,Resource21,task-21059,complete,Group 2
case-7085,T06 Determine necessity of stop advice,Resource21,2011/05/18 10:25:14.945,Variant 1,Internet,General,,Resource21,task-21056,complete,Group 1
case-7085,T10 Determine necessity to stop indication,Resource21,2011/05/18 10:25:37.587,Variant 1,Internet,General,,Resource21,task-25345,complete,Group 1
case-7085,End,End,2011/05/18 10:25:37.587,Variant 1,End,End,End,End,End,End,End
case-7087,Confirmation of receipt,Resource15,2011/04/20 12:21:34.857,Variant 4,Internet,General,Group 5,Resource14,task-21075,complete,EMPTY
case-7087,T02 Check confirmation of receipt,Resource15,2011/04/20 12:21:57.216,Variant 4,Internet,General,Group 5,Resource14,task-21396,complete,Group 4
case-7087,T04 Determine confirmation of receipt,Resource15,2011/04/20 12:22:34.430,Variant 4,Internet,General,Group 5,Resource14,task-21398,complete,Group 3
case-7087,T06 Determine necessity of stop advice,Resource15,2011/04/20 12:24:35.924,Variant 4,Internet,General,Group 5,Resource14,task-21397,complete,Group 1
case-7087,T10 Determine necessity to stop indication,Resource15,2011/04/20 12:27:11.309,Variant 4,Internet,General,Group 5,Resource14,task-21400,complete,Group 1
case-7087,T05 Print and send confirmation of receipt,admin1,2011/04/27 09:59:32.688,Variant 4,Internet,General,Group 5,Resource14,task-21399,complete,Group 2
case-7087,End,End,2011/04/27 09:59:32.688,Variant 4,End,End,End,End,End,End,End
case-7089,Confirmation of receipt,admin3,2011/04/19 14:53:36.217,Variant 6,Internet,General,,Resource18,task-21093,complete,Group 1
case-7089,T02 Check confirmation of receipt,Resource18,2011/04/19 16:54:11.251,Variant 6,Internet,General,,Resource18,task-21126,complete,Group 4
case-7089,T06 Determine necessity of stop advice,Resource18,2011/04/19 16:54:25.939,Variant 6,Internet,General,,Resource18,task-21127,complete,Group 1
case-7089,T04 Determine confirmation of receipt,Resource18,2011/04/19 16:54:37.365,Variant 6,Internet,General,,Resource18,task-21188,complete,Group 3
case-7089,T05 Print and send confirmation of receipt,Resource18,2011/04/19 16:54:49.139,Variant 6,Internet,General,,Resource18,task-21191,complete,Group 2
case-7089,T10 Determine necessity to stop indication,Resource18,2011/04/19 16:56:06.460,Variant 6,Internet,General,,Resource18,task-21190,complete,Group 1
case-7089,End,End,2011/04/19 16:56:06.460,Variant 6,End,End,End,End,End,End,End
case-709,Confirmation of receipt,Resource21,2010/11/03 11:57:52.384,Variant 24,Internet,General,,Resource21,task-3,complete,Group 1
case-709,T02 Check confirmation of receipt,Resource21,2010/11/03 11:59:58.965,Variant 24,Internet,General,,Resource21,task-803,complete,Group 4
case-709,T04 Determine confirmation of receipt,Resource21,2010/11/03 12:00:23.028,Variant 24,Internet,General,,Resource21,task-808,complete,Group 3
case-709,T05 Print and send confirmation of receipt,Resource21,2010/11/03 12:00:57.724,Variant 24,Internet,General,,Resource21,task-809,complete,Group 2
case-709,T07-2 Draft intern advice aspect 2,Resource21,2010/11/09 15:33:55.830,Variant 24,Internet,General,,Resource21,task-1281,complete,Group 15
case-709,T06 Determine necessity of stop advice,Resource21,2010/11/09 15:34:28.410,Variant 24,Internet,General,,Resource21,task-1282,complete,Group 1
case-709,T10 Determine necessity to stop indication,Resource21,2010/11/09 15:34:55.347,Variant 24,Internet,General,,Resource21,task-1283,complete,Group 1
case-709,End,End,2010/11/09 15:34:55.347,Variant 24,End,End,End,End,End,End,End
case-7091,Confirmation of receipt,Resource06,2011/05/04 13:19:12.020,Variant 1,Internet,General,,Resource04,task-21158,complete,EMPTY
case-7091,T02 Check confirmation of receipt,Resource06,2011/05/04 13:51:51.822,Variant 1,Internet,General,,Resource04,task-23717,complete,Group 4
case-7091,T04 Determine confirmation of receipt,Resource06,2011/05/04 13:52:03.911,Variant 1,Internet,General,,Resource04,task-23736,complete,Group 3
case-7091,T05 Print and send confirmation of receipt,Resource06,2011/05/04 13:52:15.390,Variant 1,Internet,General,,Resource04,task-23737,complete,Group 2
case-7091,T06 Determine necessity of stop advice,Resource06,2011/05/04 13:52:31.157,Variant 1,Internet,General,,Resource04,task-23718,complete,Group 1
case-7091,T10 Determine necessity to stop indication,Resource06,2011/05/04 13:52:49.053,Variant 1,Internet,General,,Resource04,task-23739,complete,Group 1
case-7091,End,End,2011/05/04 13:52:49.053,Variant 1,End,End,End,End,End,End,End
case-7092,Confirmation of receipt,Resource01,2011/04/27 12:05:46.277,Variant 1,Internet,General,,Resource11,task-21165,complete,EMPTY
case-7092,T02 Check confirmation of receipt,Resource01,2011/04/27 12:06:36.211,Variant 1,Internet,General,,Resource11,task-22345,complete,Group 4
case-7092,T04 Determine confirmation of receipt,Resource01,2011/04/27 12:06:49.973,Variant 1,Internet,General,,Resource11,task-22350,complete,Group 3
case-7092,T05 Print and send confirmation of receipt,Resource01,2011/04/27 12:16:21.105,Variant 1,Internet,General,,Resource11,task-22351,complete,Group 2
case-7092,T06 Determine necessity of stop advice,Resource01,2011/04/27 14:06:46.444,Variant 1,Internet,General,,Resource11,task-22346,complete,Group 1
case-7092,T10 Determine necessity to stop indication,Resource01,2011/04/27 14:07:08.178,Variant 1,Internet,General,,Resource11,task-22389,complete,Group 1
case-7092,End,End,2011/04/27 14:07:08.178,Variant 1,End,End,End,End,End,End,End
case-7093,Confirmation of receipt,Resource01,2011/04/28 10:26:03.180,Variant 1,Internet,General,,Resource11,task-21168,complete,EMPTY
case-7093,T02 Check confirmation of receipt,Resource01,2011/04/28 10:26:17.585,Variant 1,Internet,General,,Resource11,task-22485,complete,Group 4
case-7093,T04 Determine confirmation of receipt,Resource01,2011/04/28 10:26:33.419,Variant 1,Internet,General,,Resource11,task-22487,complete,Group 3
case-7093,T05 Print and send confirmation of receipt,Resource01,2011/04/28 10:26:44.462,Variant 1,Internet,General,,Resource11,task-22488,complete,Group 2
case-7093,T06 Determine necessity of stop advice,Resource01,2011/04/28 10:44:31.203,Variant 1,Internet,General,,Resource11,task-22486,complete,Group 1
case-7093,T10 Determine necessity to stop indication,Resource01,2011/04/28 10:44:45.480,Variant 1,Internet,General,,Resource11,task-22491,complete,Group 1
case-7093,End,End,2011/04/28 10:44:45.480,Variant 1,End,End,End,End,End,End,End
case-7094,Confirmation of receipt,Resource05,2011/05/02 10:48:02.020,Variant 11,Internet,General,,Resource05,task-21171,complete,EMPTY
case-7094,T02 Check confirmation of receipt,Resource05,2011/05/02 10:51:15.270,Variant 11,Internet,General,,Resource05,task-22919,complete,Group 4
case-7094,T04 Determine confirmation of receipt,Resource05,2011/05/02 10:51:37.777,Variant 11,Internet,General,,Resource05,task-22921,complete,Group 3
case-7094,T05 Print and send confirmation of receipt,Resource05,2011/05/02 10:51:58.263,Variant 11,Internet,General,,Resource05,task-22922,complete,Group 2
case-7094,T06 Determine necessity of stop advice,Resource05,2011/05/02 10:52:19.979,Variant 11,Internet,General,,Resource05,task-22920,complete,Group 1
case-7094,T10 Determine necessity to stop indication,Resource05,2011/05/02 10:53:19.482,Variant 11,Internet,General,,Resource05,task-22924,complete,Group 1
case-7094,T16 Report reasons to hold request,Resource05,2011/05/02 10:56:11.751,Variant 11,Internet,General,,Resource05,task-22927,complete,Group 1
case-7094,T17 Check report Y to stop indication,Resource05,2011/05/02 10:57:37.605,Variant 11,Internet,General,,Resource05,task-22931,complete,Group 4
case-7094,T19 Determine report Y to stop indication,Resource05,2011/05/02 10:59:10.319,Variant 11,Internet,General,,Resource05,task-22934,complete,Group 3
case-7094,T20 Print report Y to stop indication,Resource05,2011/05/02 10:59:23.761,Variant 11,Internet,General,,Resource05,task-22940,complete,Group 2
case-7094,End,End,2011/05/02 10:59:23.761,Variant 11,End,End,End,End,End,End,End
case-7108,Confirmation of receipt,Resource14,2011/05/09 11:18:51.421,Variant 1,Internet,General,,Resource14,task-21254,complete,EMPTY
case-7108,T02 Check confirmation of receipt,Resource14,2011/05/09 11:19:15.536,Variant 1,Internet,General,,Resource14,task-23912,complete,Group 4
case-7108,T04 Determine confirmation of receipt,Resource14,2011/05/09 11:19:33.719,Variant 1,Internet,General,,Resource14,task-23914,complete,Group 3
case-7108,T05 Print and send confirmation of receipt,Resource14,2011/05/09 11:19:53.297,Variant 1,Internet,General,,Resource14,task-23915,complete,Group 2
case-7108,T06 Determine necessity of stop advice,Resource14,2011/05/09 13:11:03.404,Variant 1,Internet,General,,Resource14,task-23913,complete,Group 1
case-7108,T10 Determine necessity to stop indication,Resource14,2011/05/09 13:11:22.902,Variant 1,Internet,General,,Resource14,task-23969,complete,Group 1
case-7108,End,End,2011/05/09 13:11:22.902,Variant 1,End,End,End,End,End,End,End
case-7110,Confirmation of receipt,Resource06,2011/04/20 11:21:47.949,Variant 1,Internet,General,,Resource06,task-21283,complete,EMPTY
case-7110,T02 Check confirmation of receipt,Resource06,2011/04/20 11:22:06.093,Variant 1,Internet,General,,Resource06,task-21336,complete,Group 4
case-7110,T04 Determine confirmation of receipt,Resource06,2011/04/20 11:22:36.294,Variant 1,Internet,General,,Resource06,task-21339,complete,Group 3
case-7110,T05 Print and send confirmation of receipt,Resource06,2011/04/20 11:22:55.418,Variant 1,Internet,General,,Resource06,task-21343,complete,Group 2
case-7110,T06 Determine necessity of stop advice,Resource06,2011/04/20 11:23:07.406,Variant 1,Internet,General,,Resource06,task-21337,complete,Group 1
case-7110,T10 Determine necessity to stop indication,Resource06,2011/04/20 11:23:41.874,Variant 1,Internet,General,,Resource06,task-21345,complete,Group 1
case-7110,End,End,2011/04/20 11:23:41.874,Variant 1,End,End,End,End,End,End,End
case-7112,Confirmation of receipt,Resource25,2011/05/18 16:11:02.512,Variant 1,e-mail,General,,Resource25,task-21294,complete,EMPTY
case-7112,T02 Check confirmation of receipt,Resource25,2011/05/18 16:11:47.024,Variant 1,e-mail,General,,Resource25,task-25550,complete,EMPTY
case-7112,T04 Determine confirmation of receipt,Resource25,2011/05/18 16:12:53.203,Variant 1,e-mail,General,,Resource25,task-25552,complete,EMPTY
case-7112,T05 Print and send confirmation of receipt,Resource25,2011/05/18 16:13:20.248,Variant 1,e-mail,General,,Resource25,task-25554,complete,Group 2
case-7112,T06 Determine necessity of stop advice,Resource25,2011/05/18 16:18:52.187,Variant 1,e-mail,General,,Resource25,task-25551,complete,Group 1
case-7112,T10 Determine necessity to stop indication,Resource25,2011/05/18 16:20:43.126,Variant 1,e-mail,General,,Resource25,task-25555,complete,Group 1
case-7112,End,End,2011/05/18 16:20:43.126,Variant 1,End,End,End,End,End,End,End
case-7114,Confirmation of receipt,Resource12,2011/05/03 16:18:22.690,Variant 1,Desk,General,,Resource12,task-21378,complete,EMPTY
case-7114,T02 Check confirmation of receipt,Resource12,2011/05/03 16:18:51.126,Variant 1,Desk,General,,Resource12,task-23534,complete,Group 4
case-7114,T04 Determine confirmation of receipt,Resource12,2011/05/03 16:19:18.200,Variant 1,Desk,General,,Resource12,task-23536,complete,Group 3
case-7114,T05 Print and send confirmation of receipt,Resource12,2011/05/03 16:19:36.390,Variant 1,Desk,General,,Resource12,task-23538,complete,Group 2
case-7114,T06 Determine necessity of stop advice,Resource12,2011/05/03 16:20:30.072,Variant 1,Desk,General,,Resource12,task-23535,complete,Group 1
case-7114,T10 Determine necessity to stop indication,Resource12,2011/05/03 16:20:53.315,Variant 1,Desk,General,,Resource12,task-23539,complete,Group 1
case-7114,End,End,2011/05/03 16:20:53.315,Variant 1,End,End,End,End,End,End,End
case-7117,Confirmation of receipt,Resource12,2011/06/06 15:32:52.471,Variant 4,Desk,General,,Resource12,task-21441,complete,EMPTY
case-7117,T02 Check confirmation of receipt,Resource12,2011/06/06 15:33:35.093,Variant 4,Desk,General,,Resource12,task-27866,complete,Group 4
case-7117,T04 Determine confirmation of receipt,Resource12,2011/06/06 15:33:56.060,Variant 4,Desk,General,,Resource12,task-27870,complete,Group 3
case-7117,T06 Determine necessity of stop advice,Resource12,2011/06/06 15:34:33.716,Variant 4,Desk,General,,Resource12,task-27867,complete,Group 1
case-7117,T10 Determine necessity to stop indication,Resource12,2011/06/06 15:36:36.050,Variant 4,Desk,General,,Resource12,task-27873,complete,Group 1
case-7117,T05 Print and send confirmation of receipt,admin1,2011/06/24 15:29:16.806,Variant 4,Desk,General,,Resource12,task-27872,complete,Group 2
case-7117,End,End,2011/06/24 15:29:16.806,Variant 4,End,End,End,End,End,End,End
case-7119,Confirmation of receipt,Resource05,2011/05/02 12:54:04.911,Variant 1,Internet,General,,admin1,task-21464,complete,EMPTY
case-7119,T02 Check confirmation of receipt,Resource05,2011/05/02 12:54:21.679,Variant 1,Internet,General,,admin1,task-23025,complete,Group 4
case-7119,T04 Determine confirmation of receipt,Resource05,2011/05/02 12:54:35.131,Variant 1,Internet,General,,admin1,task-23027,complete,Group 3
case-7119,T05 Print and send confirmation of receipt,Resource05,2011/05/02 12:54:48.496,Variant 1,Internet,General,,admin1,task-23028,complete,Group 2
case-7119,T06 Determine necessity of stop advice,Resource05,2011/05/02 12:56:32.814,Variant 1,Internet,General,,admin1,task-23026,complete,Group 1
case-7119,T10 Determine necessity to stop indication,Resource05,2011/05/02 12:56:48.823,Variant 1,Internet,General,,admin1,task-23029,complete,Group 1
case-7119,End,End,2011/05/02 12:56:48.823,Variant 1,End,End,End,End,End,End,End
case-7120,Confirmation of receipt,Resource14,2011/05/02 13:30:02.570,Variant 1,Internet,General,,Resource14,task-21484,complete,EMPTY
case-7120,T02 Check confirmation of receipt,Resource14,2011/05/02 13:30:37.400,Variant 1,Internet,General,,Resource14,task-23072,complete,Group 4
case-7120,T04 Determine confirmation of receipt,Resource14,2011/05/02 13:31:24.822,Variant 1,Internet,General,,Resource14,task-23077,complete,Group 3
case-7120,T05 Print and send confirmation of receipt,Resource14,2011/05/02 13:31:39.966,Variant 1,Internet,General,,Resource14,task-23078,complete,Group 2
case-7120,T06 Determine necessity of stop advice,Resource14,2011/05/02 13:31:51.678,Variant 1,Internet,General,,Resource14,task-23073,complete,Group 1
case-7120,T10 Determine necessity to stop indication,Resource14,2011/05/02 13:32:08.106,Variant 1,Internet,General,,Resource14,task-23080,complete,Group 1
case-7120,End,End,2011/05/02 13:32:08.106,Variant 1,End,End,End,End,End,End,End
case-7129,Confirmation of receipt,Resource13,2011/04/27 09:14:55.727,Variant 3,Internet,General,,Resource13,task-21617,complete,EMPTY
case-7129,T02 Check confirmation of receipt,Resource13,2011/04/27 09:15:44.066,Variant 3,Internet,General,,Resource13,task-22216,complete,EMPTY
case-7129,T06 Determine necessity of stop advice,Resource13,2011/04/27 09:16:01.424,Variant 3,Internet,General,,Resource13,task-22217,complete,Group 1
case-7129,T10 Determine necessity to stop indication,Resource13,2011/04/27 09:16:41.954,Variant 3,Internet,General,,Resource13,task-22219,complete,Group 1
case-7129,T04 Determine confirmation of receipt,Resource10,2011/04/27 10:20:27.017,Variant 3,Internet,General,,Resource13,task-22218,complete,Group 3
case-7129,T05 Print and send confirmation of receipt,admin1,2011/04/28 16:23:59.707,Variant 3,Internet,General,,Resource13,task-22290,complete,Group 2
case-7129,End,End,2011/04/28 16:23:59.707,Variant 3,End,End,End,End,End,End,End
case-7131,Confirmation of receipt,Resource07,2011/05/02 11:58:18.808,Variant 1,Internet,General,,Resource11,task-21790,complete,EMPTY
case-7131,T02 Check confirmation of receipt,Resource07,2011/05/02 11:58:33.361,Variant 1,Internet,General,,Resource11,task-22993,complete,Group 4
case-7131,T04 Determine confirmation of receipt,Resource07,2011/05/02 11:58:52.488,Variant 1,Internet,General,,Resource11,task-22995,complete,Group 3
case-7131,T05 Print and send confirmation of receipt,Resource07,2011/05/02 11:59:03.746,Variant 1,Internet,General,,Resource11,task-22996,complete,Group 2
case-7131,T06 Determine necessity of stop advice,Resource07,2011/05/02 11:59:23.436,Variant 1,Internet,General,,Resource11,task-22994,complete,Group 1
case-7131,T10 Determine necessity to stop indication,Resource01,2011/05/13 10:51:07.145,Variant 1,Internet,General,,Resource11,task-22997,complete,Group 1
case-7131,End,End,2011/05/13 10:51:07.145,Variant 1,End,End,End,End,End,End,End
case-7132,Confirmation of receipt,Resource17,2011/04/29 14:41:07.912,Variant 12,Internet,General,,Resource17,task-21811,complete,EMPTY
case-7132,T02 Check confirmation of receipt,Resource17,2011/05/02 14:40:47.217,Variant 12,Internet,General,,Resource17,task-22793,complete,EMPTY
case-7132,T06 Determine necessity of stop advice,Resource17,2011/05/02 14:41:00.637,Variant 12,Internet,General,,Resource17,task-22794,complete,Group 1
case-7132,T04 Determine confirmation of receipt,Resource17,2011/05/02 14:41:17.556,Variant 12,Internet,General,,Resource17,task-23151,complete,Group 3
case-7132,T10 Determine necessity to stop indication,Resource17,2011/05/02 14:41:29.804,Variant 12,Internet,General,,Resource17,task-23152,complete,Group 1
case-7132,T05 Print and send confirmation of receipt,Resource17,2011/05/02 14:42:03.077,Variant 12,Internet,General,,Resource17,task-23154,complete,Group 2
case-7132,End,End,2011/05/02 14:42:03.077,Variant 12,End,End,End,End,End,End,End
case-7134,Confirmation of receipt,Resource18,2011/04/28 13:36:55.668,Variant 1,Internet,General,,Resource18,task-21864,complete,EMPTY
case-7134,T02 Check confirmation of receipt,Resource18,2011/04/28 13:37:09.169,Variant 1,Internet,General,,Resource18,task-22618,complete,Group 4
case-7134,T04 Determine confirmation of receipt,Resource18,2011/04/28 13:37:19.577,Variant 1,Internet,General,,Resource18,task-22620,complete,Group 3
case-7134,T05 Print and send confirmation of receipt,Resource18,2011/04/28 13:37:45.662,Variant 1,Internet,General,,Resource18,task-22621,complete,Group 2
case-7134,T06 Determine necessity of stop advice,Resource18,2011/05/30 09:10:55.101,Variant 1,Internet,General,,Resource18,task-22619,complete,Group 1
case-7134,T10 Determine necessity to stop indication,Resource18,2011/05/30 09:11:15.470,Variant 1,Internet,General,,Resource18,task-26834,complete,Group 1
case-7134,End,End,2011/05/30 09:11:15.470,Variant 1,End,End,End,End,End,End,End
case-7175,Confirmation of receipt,Resource05,2011/05/09 16:09:06.672,Variant 2,Internet,General,,Resource05,task-22021,complete,EMPTY
case-7175,T06 Determine necessity of stop advice,Resource05,2011/05/09 16:09:23.924,Variant 2,Internet,General,,Resource05,task-24013,complete,Group 1
case-7175,T10 Determine necessity to stop indication,Resource05,2011/05/09 16:10:40.645,Variant 2,Internet,General,,Resource05,task-24014,complete,Group 1
case-7175,T02 Check confirmation of receipt,Resource05,2011/05/09 16:10:53.830,Variant 2,Internet,General,,Resource05,task-24012,complete,Group 4
case-7175,T04 Determine confirmation of receipt,Resource05,2011/05/09 16:11:08.707,Variant 2,Internet,General,,Resource05,task-24016,complete,Group 3
case-7175,T05 Print and send confirmation of receipt,Resource05,2011/05/09 16:11:21.712,Variant 2,Internet,General,,Resource05,task-24017,complete,Group 2
case-7175,End,End,2011/05/09 16:11:21.712,Variant 2,End,End,End,End,End,End,End
case-7178,Confirmation of receipt,Resource07,2011/05/02 13:34:06.750,Variant 1,Internet,General,,Resource11,task-22032,complete,EMPTY
case-7178,T02 Check confirmation of receipt,Resource07,2011/05/02 13:34:34.526,Variant 1,Internet,General,,Resource11,task-23091,complete,Group 4
case-7178,T04 Determine confirmation of receipt,Resource07,2011/05/02 13:34:50.146,Variant 1,Internet,General,,Resource11,task-23093,complete,Group 3
case-7178,T05 Print and send confirmation of receipt,Resource07,2011/05/02 13:35:03.656,Variant 1,Internet,General,,Resource11,task-23094,complete,Group 2
case-7178,T06 Determine necessity of stop advice,Resource07,2011/05/02 13:35:17.532,Variant 1,Internet,General,,Resource11,task-23092,complete,Group 1
case-7178,T10 Determine necessity to stop indication,Resource01,2011/05/13 13:03:08.817,Variant 1,Internet,General,,Resource11,task-23096,complete,Group 1
case-7178,End,End,2011/05/13 13:03:08.817,Variant 1,End,End,End,End,End,End,End
case-7182,Confirmation of receipt,Resource08,2011/04/28 14:12:38.150,Variant 1,Internet,General,Group 5,Resource13,task-22097,complete,EMPTY
case-7182,T02 Check confirmation of receipt,Resource08,2011/04/28 14:13:04.868,Variant 1,Internet,General,Group 5,Resource13,task-22623,complete,Group 4
case-7182,T04 Determine confirmation of receipt,Resource08,2011/04/28 14:13:47.328,Variant 1,Internet,General,Group 5,Resource13,task-22625,complete,EMPTY
case-7182,T05 Print and send confirmation of receipt,Resource08,2011/04/28 14:14:20.642,Variant 1,Internet,General,Group 5,Resource13,task-22627,complete,EMPTY
case-7182,T06 Determine necessity of stop advice,Resource08,2011/04/28 14:14:34.853,Variant 1,Internet,General,Group 5,Resource13,task-22624,complete,Group 1
case-7182,T10 Determine necessity to stop indication,Resource08,2011/04/28 14:17:13.974,Variant 1,Internet,General,Group 5,Resource13,task-22629,complete,Group 1
case-7182,End,End,2011/04/28 14:17:13.974,Variant 1,End,End,End,End,End,End,End
case-7187,Confirmation of receipt,Resource04,2011/05/04 10:36:12.987,Variant 1,Internet,General,,Resource04,task-22103,complete,EMPTY
case-7187,T02 Check confirmation of receipt,Resource04,2011/05/04 10:36:27.778,Variant 1,Internet,General,,Resource04,task-23643,complete,Group 4
case-7187,T04 Determine confirmation of receipt,Resource04,2011/05/04 10:36:38.144,Variant 1,Internet,General,,Resource04,task-23645,complete,Group 3
case-7187,T05 Print and send confirmation of receipt,Resource04,2011/05/04 10:36:47.795,Variant 1,Internet,General,,Resource04,task-23646,complete,Group 2
case-7187,T06 Determine necessity of stop advice,Resource04,2011/05/04 10:36:57.377,Variant 1,Internet,General,,Resource04,task-23644,complete,Group 1
case-7187,T10 Determine necessity to stop indication,Resource04,2011/05/04 10:38:40.205,Variant 1,Internet,General,,Resource04,task-23647,complete,Group 1
case-7187,End,End,2011/05/04 10:38:40.205,Variant 1,End,End,End,End,End,End,End
case-7189,Confirmation of receipt,Resource02,2011/04/27 10:04:01.644,Variant 1,e-mail,General,,Resource02,task-22128,complete,EMPTY
case-7189,T02 Check confirmation of receipt,Resource02,2011/04/27 10:04:31.227,Variant 1,e-mail,General,,Resource02,task-22264,complete,Group 4
case-7189,T04 Determine confirmation of receipt,Resource02,2011/04/27 10:04:46.032,Variant 1,e-mail,General,,Resource02,task-22266,complete,Group 3
case-7189,T05 Print and send confirmation of receipt,Resource02,2011/04/27 10:05:05.703,Variant 1,e-mail,General,,Resource02,task-22267,complete,Group 2
case-7189,T06 Determine necessity of stop advice,Resource02,2011/04/27 10:05:22.067,Variant 1,e-mail,General,,Resource02,task-22265,complete,Group 1
